player_total,is_soft,dealer_up,true_count,best_action,Q_hit,Q_stand,Q_double,Q_surrender,thorp_action,matches_thorp,visit_count
4,False,10,2,H,0.2000,-0.5000,-0.5000,-0.5000,H,True,10
4,False,10,3,H,0.2143,-0.5000,-0.5000,-0.5000,H,True,4
4,False,10,4,H,0.3333,-0.5000,-0.5000,-0.5000,H,True,2
4,False,10,5,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
4,False,11,-5,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
4,False,11,-4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
4,False,11,-3,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
4,False,11,-2,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
4,False,11,-1,H,0.4615,-0.5000,-0.5000,-0.5000,H,True,3
4,False,11,0,H,0.0870,-0.5000,-0.5000,-0.5000,H,True,13
4,False,11,1,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
4,False,11,2,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
4,False,11,3,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
4,False,11,4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
4,False,11,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,2,-5,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
5,False,2,-4,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
5,False,2,-3,H,0.5625,-0.5000,-0.5000,-0.5000,H,True,6
5,False,2,-2,H,0.4286,-0.5000,-0.5000,-0.5000,H,True,4
5,False,2,-1,H,0.3889,-0.5000,-0.5000,-0.5000,H,True,8
5,False,2,0,H,0.2093,-0.5000,-0.5000,-0.5000,H,True,33
5,False,2,1,H,0.1333,-0.5000,-0.5000,-0.5000,H,True,20
5,False,2,2,H,0.1875,-0.5000,-0.5000,-0.5000,H,True,6
5,False,2,3,H,0.4615,-0.5000,-0.5000,-0.5000,H,True,3
5,False,2,4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,2,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,3,-5,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
5,False,3,-4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
5,False,3,-3,H,0.2143,-0.5000,-0.5000,-0.5000,H,True,4
5,False,3,-2,H,0.3158,-0.5000,-0.5000,-0.5000,H,True,9
5,False,3,-1,H,0.2917,-0.5000,-0.5000,-0.5000,H,True,14
5,False,3,0,H,0.1190,-0.5000,-0.5000,-0.5000,H,True,32
5,False,3,1,H,0.2667,-0.5000,-0.5000,-0.5000,H,True,5
5,False,3,2,H,0.4706,-0.5000,-0.5000,-0.5000,H,True,7
5,False,3,3,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,3,4,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,3,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,4,-5,H,0.2667,-0.5000,-0.5000,-0.5000,H,True,5
5,False,4,-4,H,0.2143,-0.5000,-0.5000,-0.5000,H,True,4
5,False,4,-3,H,0.2667,-0.5000,-0.5000,-0.5000,H,True,5
5,False,4,-2,H,0.2143,-0.5000,-0.5000,-0.5000,H,True,4
5,False,4,-1,H,0.2727,-0.5000,-0.5000,-0.5000,H,True,12
5,False,4,0,H,-0.0714,-0.5000,-0.5000,-0.5000,H,True,46
5,False,4,1,H,0.4375,-0.5000,-0.5000,-0.5000,H,True,6
5,False,4,2,H,0.3529,-0.5000,-0.5000,-0.5000,H,True,7
5,False,4,3,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
5,False,4,4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,4,5,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
5,False,5,-5,H,0.1875,-0.5000,-0.5000,-0.5000,H,True,6
5,False,5,-4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,2
5,False,5,-3,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
5,False,5,-2,H,0.4375,-0.5000,-0.5000,-0.5000,H,True,6
5,False,5,-1,H,0.0741,-0.5000,-0.5000,-0.5000,H,True,17
5,False,5,0,H,0.0930,-0.5000,-0.5000,-0.5000,H,True,33
5,False,5,1,H,0.3810,-0.5000,-0.5000,-0.5000,H,True,11
5,False,5,2,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,4
5,False,5,3,H,0.4375,-0.5000,-0.5000,-0.5000,H,True,6
5,False,5,4,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
5,False,5,5,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
5,False,6,-5,H,0.0714,-0.5000,-0.5000,-0.5000,H,True,4
5,False,6,-4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
5,False,6,-3,H,0.3571,-0.5000,-0.5000,-0.5000,H,True,4
5,False,6,-2,H,0.3158,-0.5000,-0.5000,-0.5000,H,True,9
5,False,6,-1,H,0.4348,-0.5000,-0.5000,-0.5000,H,True,13
5,False,6,0,H,0.1250,-0.5000,-0.5000,-0.5000,H,True,38
5,False,6,1,H,0.0000,-0.5000,-0.5000,-0.5000,H,True,9
5,False,6,2,H,0.3158,-0.5000,-0.5000,-0.5000,H,True,9
5,False,6,3,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
5,False,6,4,H,0.2500,-0.5000,-0.5000,-0.5000,H,True,2
5,False,6,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,7,-5,H,0.4667,-0.5000,-0.5000,-0.5000,H,True,5
5,False,7,-4,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,7,-3,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,7,-2,H,0.4667,-0.5000,-0.5000,-0.5000,H,True,5
5,False,7,-1,H,0.3478,-0.5000,-0.5000,-0.5000,H,True,13
5,False,7,0,H,-0.0847,-0.5000,-0.5000,-0.5000,H,True,49
5,False,7,1,H,-0.0588,-0.5000,-0.5000,-0.5000,H,True,7
5,False,7,2,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,7,3,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
5,False,7,4,H,0.2500,-0.5000,-0.5000,-0.5000,H,True,2
5,False,7,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,8,-5,H,0.1538,-0.5000,-0.5000,-0.5000,H,True,3
5,False,8,-4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
5,False,8,-3,H,0.2778,-0.5000,-0.5000,-0.5000,H,True,8
5,False,8,-2,H,0.4375,-0.5000,-0.5000,-0.5000,H,True,6
5,False,8,-1,H,0.1000,-0.5000,-0.5000,-0.5000,H,True,10
5,False,8,0,H,0.0000,-0.5000,-0.5000,-0.5000,H,True,33
5,False,8,1,H,-0.1852,-0.5000,-0.5000,-0.5000,H,True,17
5,False,8,2,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,8,3,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
5,False,8,4,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
5,False,8,5,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
5,False,9,-5,H,0.4615,-0.5000,-0.5000,-0.5000,H,True,3
5,False,9,-4,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,9,-3,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
5,False,9,-2,H,0.3158,-0.5000,-0.5000,-0.5000,H,True,9
5,False,9,-1,H,0.1111,-0.5000,-0.5000,-0.5000,H,True,17
5,False,9,0,H,-0.2326,-0.5000,-0.5000,-0.5000,H,True,33
5,False,9,1,H,0.0417,-0.5000,-0.5000,-0.5000,H,True,14
5,False,9,2,H,0.4118,-0.5000,-0.5000,-0.5000,H,True,7
5,False,9,3,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,9,4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,9,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
5,False,10,-5,H,0.1176,-0.5000,-0.5000,-0.5000,H,True,7
5,False,10,-4,H,0.2632,-0.5000,-0.5000,-0.5000,H,True,9
5,False,10,-3,H,0.0556,-0.5000,-0.5000,-0.5000,H,True,8
5,False,10,-2,H,0.0000,-0.5000,-0.5000,-0.5000,H,True,24
5,False,10,-1,H,-0.1333,-0.5000,-0.5000,-0.5000,H,True,35
5,False,10,0,H,-0.1705,-0.5000,-0.5000,-0.5000,H,True,166
5,False,10,1,H,-0.1489,-0.5000,-0.5000,-0.5000,H,True,37
5,False,10,2,H,-0.1667,-0.5000,-0.5000,-0.5000,H,True,20
5,False,10,3,H,0.2000,-0.5000,-0.5000,-0.5000,H,True,10
5,False,10,4,H,0.2000,-0.5000,-0.5000,-0.5000,H,True,5
5,False,10,5,H,0.2000,-0.5000,-0.5000,-0.5000,H,True,5
5,False,11,-5,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
5,False,11,-4,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
5,False,11,-3,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
5,False,11,-2,H,0.2778,-0.5000,-0.5000,-0.5000,H,True,8
5,False,11,-1,H,-0.1500,-0.5000,-0.5000,-0.5000,H,True,10
5,False,11,0,H,-0.2083,-0.5000,-0.5000,-0.5000,H,True,38
5,False,11,1,H,0.2273,-0.5000,-0.5000,-0.5000,H,True,12
5,False,11,2,H,0.2667,-0.5000,-0.5000,-0.5000,H,True,5
5,False,11,3,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
5,False,11,4,H,0.3333,-0.5000,-0.5000,-0.5000,H,True,2
5,False,11,5,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,2,-5,H,-0.0000,-0.5000,-0.5000,-0.5000,H,True,7
